title,description,type,track,start_time,end_time,location,speakers
Opening Ceremony,Official opening of Global Summit 2026 Brazil with worship and welcome address,keynote,Main Stage,2026-11-05T09:00,2026-11-05T10:30,Main Auditorium,
Harvest Vision,"Keynote message on seeing the harvest and the global vision of Billion Soul Harvest",keynote,Main Stage,2026-11-05T11:00,2026-11-05T12:30,Main Auditorium,
Lunch Break,,break,,2026-11-05T12:30,2026-11-05T14:00,Dining Hall,
Leadership Lab: Church Planting Strategies,"Interactive workshop on effective church planting strategies for different cultural contexts",workshop,Leadership Labs,2026-11-05T14:00,2026-11-05T15:30,Workshop Room A,
Leadership Lab: Discipleship Models,"Exploring proven discipleship models for sustainable church growth",workshop,Leadership Labs,2026-11-05T14:00,2026-11-05T15:30,Workshop Room B,
Leadership Lab: Digital Evangelism,"Leveraging technology and digital platforms for evangelism and outreach",workshop,Leadership Labs,2026-11-05T14:00,2026-11-05T15:30,Workshop Room C,
Coffee Break,,break,,2026-11-05T15:30,2026-11-05T16:00,,
Evening Celebration,"Worship celebration with testimonies from the nations and commissioning prayer",keynote,Main Stage,2026-11-05T19:00,2026-11-05T21:00,Main Auditorium,
Worship & Prayer,"Morning worship and intercession for the nations",keynote,Main Stage,2026-11-06T08:30,2026-11-06T09:30,Main Auditorium,
Harvest Lifestyle,"Teaching on living a lifestyle centered on the Great Commission and harvest",keynote,Main Stage,2026-11-06T09:45,2026-11-06T11:15,Main Auditorium,
Coffee Break,,break,,2026-11-06T11:15,2026-11-06T11:45,,
Disciple Making,"Plenary session on multiplying disciples and raising up the next generation of leaders",talk,Main Stage,2026-11-06T11:45,2026-11-06T13:00,Main Auditorium,
Lunch Break,,break,,2026-11-06T13:00,2026-11-06T14:30,Dining Hall,
Leadership Lab: Youth & Next Gen Ministry,"Equipping the next generation for Kingdom leadership and ministry",workshop,Leadership Labs,2026-11-06T14:30,2026-11-06T16:00,Workshop Room A,
Leadership Lab: Women in Ministry,"Empowering women leaders in global missions and church planting",workshop,Leadership Labs,2026-11-06T14:30,2026-11-06T16:00,Workshop Room B,
Leadership Lab: Marketplace Ministry,"Integrating faith and work for Kingdom impact in the marketplace",workshop,Leadership Labs,2026-11-06T14:30,2026-11-06T16:00,Workshop Room C,
Leadership Multiplication,"Keynote on multiplying leaders and building sustainable leadership pipelines",keynote,Main Stage,2026-11-07T08:30,2026-11-07T10:00,Main Auditorium,
Coffee Break,,break,,2026-11-07T10:00,2026-11-07T10:30,,
Kingdom Collaboration,"Panel discussion on global collaboration and partnerships for the Great Commission",panel,Main Stage,2026-11-07T10:30,2026-11-07T12:00,Main Auditorium,
Lunch Break,,break,,2026-11-07T12:00,2026-11-07T13:30,Dining Hall,
Global Commission,"Vision casting for the next phase of the global movement and strategic planning",keynote,Main Stage,2026-11-07T13:30,2026-11-07T15:00,Main Auditorium,
Coffee Break,,break,,2026-11-07T15:00,2026-11-07T15:30,,
Commissioning Celebration,"Closing ceremony with worship and commissioning of leaders to go back and reach the nations",keynote,Main Stage,2026-11-07T15:30,2026-11-07T17:30,Main Auditorium,
